Bits	ThresholdPct	Log10MeanSqErr	CompressionRatio
4	10.0	-2.507482	63.072205
4	15.0	-2.825645	67.869568
4	20.0	-2.831463	68.150330
4	25.0	-2.845101	68.699646
4	30.0	-2.855064	69.248962
4	35.0	-2.467811	62.834167
4	40.0	-2.85872	69.413757
4	45.0	-2.87384	70.744324
4	50.0	-2.552029	68.168640
4	55.0	-2.887547	73.466492
4	60.0	-2.896468	74.797058
4	65.0	-2.901145	76.194763
4	70.0	-2.905431	77.726746
4	75.0	-2.907243	79.209900
4	80.0	-2.905736	80.601501
4	85.0	-2.921101	82.304382
4	90.0	-2.868291	83.805847
5	10.0	-3.399314	54.605103
5	15.0	-3.400643	55.026245
5	20.0	-3.396894	55.282593
5	25.0	-3.348716	53.024292
5	30.0	-3.284883	51.809692
5	35.0	-3.38988	57.113647
5	40.0	-3.407288	59.786987
5	45.0	-3.408029	61.392212
5	50.0	-3.407273	63.644409
5	55.0	-3.401742	65.512085
5	60.0	-3.433086	68.582153
5	65.0	-3.4496	70.895386
5	70.0	-3.418858	72.042847
5	75.0	-3.426977	75.302124
5	80.0	-3.376771	77.352905
5	85.0	-3.283497	79.879761
5	90.0	-3.171725	82.211304
6	10.0	-3.3728	47.644043
6	15.0	-3.763628	38.085938
6	20.0	-3.762913	39.916992
6	25.0	-3.762913	39.916992
6	30.0	-3.816777	43.481445
6	35.0	-3.826767	45.050049
6	40.0	-3.568595	48.101807
6	45.0	-3.566461	50.451660
6	50.0	-3.775834	54.669189
6	55.0	-3.76451	57.910156
6	60.0	-3.783492	61.199951
6	65.0	-3.771279	64.404297
6	70.0	-3.730872	67.480469
6	75.0	-3.660291	70.928955
6	80.0	-3.566071	73.937988
6	85.0	-3.427894	77.075195
6	90.0	-3.220656	80.218506
7	10.0	-3.523033	42.875671
7	15.0	-3.917769	29.545593
7	20.0	-3.91747	29.820251
7	25.0	-3.91747	29.820251
7	30.0	-4.511109	35.157776
7	35.0	-4.537023	36.988831
7	40.0	-4.485859	40.110779
7	45.0	-4.468529	42.594910
7	50.0	-4.434473	47.203064
7	55.0	-4.353635	51.155090
7	60.0	-4.346733	54.890442
7	65.0	-4.233815	58.857727
7	70.0	-4.12106	62.586975
7	75.0	-3.983438	66.630554
7	80.0	-3.825145	70.256042
7	85.0	-3.579292	74.018860
7	90.0	-3.29681	77.772522
8	10.0	-3.85507	29.887390
8	15.0	-4.985701	21.568298
8	20.0	-4.982171	21.842957
8	25.0	-4.982171	21.842957
8	30.0	-4.899994	27.386475
8	35.0	-4.9394	27.845764
8	40.0	-4.985564	32.550049
8	45.0	-4.933003	35.052490
8	50.0	-4.83885	39.918518
8	55.0	-4.703678	43.995667
8	60.0	-4.602402	48.080444
8	65.0	-4.41264	52.255249
8	70.0	-4.268286	56.466675
8	75.0	-4.057878	61.050415
8	80.0	-3.848649	65.119934
8	85.0	-3.595981	69.543457
8	90.0	-3.308887	73.970032
9	10.0	-4.551745	19.813538
9	15.0	-5.641487	12.300110
9	20.0	-5.625713	12.574768
9	25.0	-5.625713	12.574768
9	30.0	-5.315979	17.956543
9	35.0	-5.408166	18.728638
9	40.0	-5.235301	23.774719
9	45.0	-5.145514	26.219177
9	50.0	-5.044652	30.886841
9	55.0	-4.881412	35.397339
9	60.0	-4.688241	39.697266
9	65.0	-4.474548	44.105530
9	70.0	-4.292346	48.371887
9	75.0	-4.074648	53.244019
9	80.0	-3.856318	57.833862
9	85.0	-3.602547	62.734985
9	90.0	-3.312001	67.797852
10	10.0	-5.077115	7.154846
10	15.0	-5.878251	-0.238037
10	20.0	-5.851379	0.036621
10	25.0	-5.851379	0.036621
10	30.0	-5.808399	5.509949
10	35.0	-5.705361	9.059143
10	40.0	-5.512128	11.244202
10	45.0	-5.355381	13.694763
10	50.0	-5.130522	18.550110
10	55.0	-4.929023	22.862244
10	60.0	-4.741406	27.214050
10	65.0	-4.527468	31.893921
10	70.0	-4.309991	36.437988
10	75.0	-4.079327	41.586304
10	80.0	-3.860684	46.458435
10	85.0	-3.604067	51.823425
10	90.0	-3.312953	57.351685
11	10.0	-5.536684	-11.647034
11	15.0	-6.556617	-19.703674
11	20.0	-6.441198	-19.418335
11	25.0	-6.441198	-19.418335
11	30.0	-6.106859	-11.190796
11	35.0	-5.975204	-13.346863
11	40.0	-5.615371	-8.454895
11	45.0	-5.424655	-6.010437
11	50.0	-5.161382	-1.347351
11	55.0	-4.949491	2.944946
11	60.0	-4.754492	7.106018
11	65.0	-4.534171	11.843872
11	70.0	-4.313171	16.571045
11	75.0	-4.095474	21.812439
11	80.0	-3.861799	26.968384
11	85.0	-3.604597	32.929993
11	90.0	-3.313127	39.302063
12	10.0	-6.206491	-42.907715
12	15.0	-6.964509	-53.247070
12	20.0	-6.714459	-52.972412
12	25.0	-6.714459	-52.972412
12	30.0	-6.155138	-47.674561
12	35.0	-6.03752	-47.064209
12	40.0	-5.643794	-42.282104
12	45.0	-5.442762	-39.837646
12	50.0	-5.170319	-35.218811
12	55.0	-4.955067	-30.804443
12	60.0	-4.738186	-21.194458
12	65.0	-4.535607	-21.907043
12	70.0	-4.314141	-17.234802
12	75.0	-4.096603	-11.920166
12	80.0	-3.871947	-6.634521
12	85.0	-3.604735	-0.212097
12	90.0	-3.313204	7.203674
